index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,notes
76,Crop planning | PPO | adaptive | random_weather | seed=0,crop_planning,PPO,z3ti5xvb,final_successful_runs\bundles\076_crop_planning_ppo_adaptive_random_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
77,Crop planning | PPO | nonadaptive | random_weather | seed=0,crop_planning,PPO,afu15jbs,final_successful_runs\bundles\077_crop_planning_ppo_nonadaptive_random_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
78,Crop planning hierarchical | PPO | random_weather | seed=0 | profile=pakistan_baseline,crop_planning,PPO,bqvjsaev,final_successful_runs\bundles\078_crop_planning_hierarchical_ppo_random_weather_seed_0_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
79,Crop planning | PPO | adaptive | fixed_weather | seed=1,crop_planning,PPO,mtxaw144,final_successful_runs\bundles\079_crop_planning_ppo_adaptive_fixed_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
80,Crop planning | PPO | nonadaptive | fixed_weather | seed=1,crop_planning,PPO,lbm01ra7,final_successful_runs\bundles\080_crop_planning_ppo_nonadaptive_fixed_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
81,Crop planning hierarchical | PPO | fixed_weather | seed=1 | profile=pakistan_baseline,crop_planning,PPO,98dvficd,final_successful_runs\bundles\081_crop_planning_hierarchical_ppo_fixed_weather_seed_1_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
82,Crop planning | PPO | adaptive | random_weather | seed=1,crop_planning,PPO,ktm748i0,final_successful_runs\bundles\082_crop_planning_ppo_adaptive_random_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
83,Crop planning | PPO | nonadaptive | random_weather | seed=1,crop_planning,PPO,fulm3jfg,final_successful_runs\bundles\083_crop_planning_ppo_nonadaptive_random_weather_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
84,Crop planning hierarchical | PPO | random_weather | seed=1 | profile=pakistan_baseline,crop_planning,PPO,s1d9mzrv,final_successful_runs\bundles\084_crop_planning_hierarchical_ppo_random_weather_seed_1_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
85,Crop planning | PPO | adaptive | fixed_weather | seed=2,crop_planning,PPO,evahbt11,final_successful_runs\bundles\085_crop_planning_ppo_adaptive_fixed_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
86,Crop planning | PPO | nonadaptive | fixed_weather | seed=2,crop_planning,PPO,3i0dicmh,final_successful_runs\bundles\086_crop_planning_ppo_nonadaptive_fixed_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
87,Crop planning hierarchical | PPO | fixed_weather | seed=2 | profile=pakistan_baseline,crop_planning,PPO,ib7b5p3m,final_successful_runs\bundles\087_crop_planning_hierarchical_ppo_fixed_weather_seed_2_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
88,Crop planning | PPO | adaptive | random_weather | seed=2,crop_planning,PPO,busvmdmm,final_successful_runs\bundles\088_crop_planning_ppo_adaptive_random_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
89,Crop planning | PPO | nonadaptive | random_weather | seed=2,crop_planning,PPO,i0zmzydd,final_successful_runs\bundles\089_crop_planning_ppo_nonadaptive_random_weather_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
90,Crop planning hierarchical | PPO | random_weather | seed=2 | profile=pakistan_baseline,crop_planning,PPO,a23ojanf,final_successful_runs\bundles\090_crop_planning_hierarchical_ppo_random_weather_seed_2_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
91,Crop planning | A2C | adaptive | fixed_weather | seed=0,crop_planning,A2C,k0h6c7g1,final_successful_runs\bundles\091_crop_planning_a2c_adaptive_fixed_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
92,Crop planning | A2C | nonadaptive | fixed_weather | seed=0,crop_planning,A2C,lw3rc0qw,final_successful_runs\bundles\092_crop_planning_a2c_nonadaptive_fixed_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
93,Crop planning hierarchical | A2C | fixed_weather | seed=0 | profile=pakistan_baseline,crop_planning,A2C,hsrujhet,final_successful_runs\bundles\093_crop_planning_hierarchical_a2c_fixed_weather_seed_0_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
94,Crop planning | A2C | adaptive | random_weather | seed=0,crop_planning,A2C,ntp9jxmm,final_successful_runs\bundles\094_crop_planning_a2c_adaptive_random_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
95,Crop planning | A2C | nonadaptive | random_weather | seed=0,crop_planning,A2C,6l16w5kj,final_successful_runs\bundles\095_crop_planning_a2c_nonadaptive_random_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
