num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
100,0,2006-11-25,2006,329,2,15.0,80.0,24.0,331.30435500000004,8600.008,1353.09,10284.402355,-0.09336724877357483,False,,,"[1, 7, 8, 2, 1, 10, 4]"
101,0,2006-12-02,2006,336,2,0.0,80.0,18.0,0.0,8600.008,1014.8174999999999,9614.825499999999,-0.08728520572185516,False,,,"[0, 7, 2, 1, 0, 10, 3]"
102,0,2006-12-09,2006,343,2,105.0,16.0,48.0,2319.130485,1720.0016,2706.18,6745.312085,-0.061220984905958176,False,,,"[0, 5, 9, 7, 7, 2, 8]"
103,0,2006-12-16,2006,350,2,15.0,48.0,60.0,331.30435500000004,5160.004800000001,3382.725,8874.034155000001,-0.08049169927835464,False,,,"[0, 8, 5, 6, 1, 6, 10]"
104,0,2006-12-23,2006,357,2,135.0,56.0,30.0,2981.739195,6020.0056,1691.3625,10693.107295,-0.0968780592083931,False,,,"[1, 0, 7, 8, 9, 7, 5]"
105,0,2006-12-30,2006,364,2,0.0,80.0,36.0,0.0,8600.008,2029.6349999999998,10629.643,-0.0870448425412178,False,,,"[0, 6, 7, 9, 0, 10, 6]"
106,0,2007-01-06,2007,6,3,60.0,64.0,48.0,1374.7825799999998,6331.646272,2278.279728,9984.70858,-0.09012602269649506,True,,SoybeanMG.3,"[1, 4, 8, 2, 4, 8, 8]"
107,0,2007-01-13,2007,13,3,105.0,32.0,48.0,2405.869515,3165.823136,2278.279728,7849.972378999999,-0.07069237530231476,False,,,"[0, 0, 5, 0, 7, 4, 8]"
108,0,2007-01-20,2007,20,3,60.0,80.0,12.0,1374.7825799999998,7914.5578399999995,569.569932,9858.910351999999,-0.0885385274887085,False,,,"[0, 0, 4, 7, 4, 10, 2]"
109,0,2007-01-27,2007,27,3,135.0,72.0,60.0,3093.260805,7123.102056,2847.84966,13064.212521,-0.11690980941057205,False,,,"[0, 1, 8, 9, 9, 9, 10]"
110,0,2007-02-03,2007,34,3,120.0,0.0,60.0,2749.5651599999997,0.0,2847.84966,5597.41482,-0.04991652071475983,False,,,"[0, 5, 9, 8, 8, 0, 10]"
111,0,2007-02-10,2007,41,3,120.0,0.0,30.0,2749.5651599999997,0.0,1423.92483,4173.48999,-0.03709662705659866,False,,,"[0, 9, 4, 5, 8, 0, 5]"
112,0,2007-02-17,2007,48,3,60.0,32.0,24.0,1374.7825799999998,3165.823136,1139.139864,5679.74558,-0.05032215267419815,False,,,"[1, 12, 1, 7, 4, 4, 4]"
113,0,2007-02-24,2007,55,3,0.0,24.0,36.0,0.0,2374.367352,1708.7097959999999,4083.0771480000003,-0.03606618940830231,False,,,"[0, 7, 4, 4, 0, 3, 6]"
114,0,2007-03-03,2007,62,3,90.0,32.0,18.0,2062.1738699999996,3165.823136,854.3548979999999,6082.351903999999,-0.053562723100185394,False,,,"[1, 1, 4, 1, 6, 4, 3]"
115,0,2007-03-10,2007,69,3,60.0,72.0,60.0,1374.7825799999998,7123.102056,2847.84966,11345.734295999999,-0.09955639392137527,False,,,"[1, 5, 8, 4, 4, 9, 10]"
116,0,2007-03-17,2007,76,3,150.0,56.0,36.0,3436.9564499999997,5540.190488,1708.7097959999999,10685.856733999999,-0.09338869899511337,False,,,"[1, 11, 5, 3, 10, 7, 6]"
117,0,2007-03-24,2007,83,3,45.0,40.0,12.0,1031.0869349999998,3957.2789199999997,569.569932,5557.935787,-0.04838250204920769,False,,,"[1, 12, 4, 8, 3, 5, 2]"
118,0,2007-03-31,2007,90,3,60.0,80.0,12.0,1374.7825799999998,7914.5578399999995,569.569932,9858.910351999999,-0.08545606583356857,False,,,"[0, 7, 7, 2, 4, 10, 2]"
119,0,2007-04-07,2007,97,3,135.0,16.0,6.0,3093.260805,1582.911568,284.784966,4960.957339,-0.04282459244132042,False,,,"[1, 6, 9, 6, 9, 2, 1]"
120,0,2007-04-14,2007,104,3,120.0,48.0,54.0,2749.5651599999997,4748.734704,2563.0646939999997,10061.364558000001,-0.08646613359451294,False,,,"[0, 1, 5, 9, 8, 6, 9]"
121,0,2007-04-21,2007,111,3,120.0,72.0,18.0,2749.5651599999997,7123.102056,854.3548979999999,10727.022114,-0.09173908829689026,False,,,"[1, 1, 2, 6, 8, 9, 3]"
122,0,2007-04-28,2007,118,3,60.0,0.0,30.0,1374.7825799999998,0.0,1423.92483,2798.70741,-0.02382885478436947,False,,,"[0, 0, 4, 0, 4, 0, 5]"
123,0,2007-05-05,2007,125,3,0.0,40.0,0.0,0.0,3957.2789199999997,0.0,3957.2789199999997,-0.03355330228805542,False,,,"[1, 12, 0, 1, 0, 5, 0]"
124,0,2007-05-12,2007,132,3,150.0,48.0,48.0,3436.9564499999997,4748.734704,2278.279728,10463.970882,-0.08832225948572159,False,,,"[1, 0, 1, 8, 10, 6, 8]"
125,0,2007-05-19,2007,139,3,15.0,64.0,12.0,343.69564499999996,6331.646272,569.569932,7244.911849,-0.060873501002788544,False,,,"[1, 3, 0, 3, 1, 8, 2]"
126,0,2007-05-26,2007,146,3,135.0,0.0,18.0,3093.260805,0.0,854.3548979999999,3947.615703,-0.03302761912345886,False,,,"[0, 5, 0, 9, 9, 0, 3]"
127,0,2007-06-02,2007,153,3,0.0,16.0,42.0,0.0,1582.911568,1993.4947619999998,3576.40633,-0.029803648591041565,False,,,"[1, 12, 9, 6, 0, 2, 7]"
128,0,2007-06-09,2007,160,3,135.0,0.0,0.0,3093.260805,0.0,0.0,3093.260805,-0.025684012100100517,False,,,"[1, 0, 8, 8, 9, 0, 0]"
129,0,2007-06-16,2007,167,3,105.0,24.0,18.0,2405.869515,2374.367352,854.3548979999999,5634.591764999999,-0.046619776636362076,False,,,"[1, 9, 5, 6, 7, 3, 3]"
130,0,2007-06-23,2007,174,3,45.0,24.0,24.0,1031.0869349999998,2374.367352,1139.139864,4544.594151,-0.03747500106692314,False,,,"[1, 12, 2, 9, 3, 3, 4]"
131,0,2007-06-30,2007,181,3,75.0,40.0,48.0,1718.4782249999998,3957.2789199999997,2278.279728,7954.036872999999,-0.06536120921373367,False,,,"[0, 7, 1, 3, 5, 5, 8]"
132,0,2007-07-07,2007,188,3,105.0,56.0,18.0,2405.869515,5540.190488,854.3548979999999,8800.414901,-0.07205098867416382,False,,,"[0, 0, 3, 8, 7, 7, 3]"
133,0,2007-07-14,2007,195,3,90.0,24.0,30.0,2062.1738699999996,2374.367352,1423.92483,5860.466052,-0.04780854657292366,False,,,"[0, 9, 2, 7, 6, 3, 5]"
134,0,2007-07-21,2007,202,3,120.0,0.0,36.0,2749.5651599999997,0.0,1708.7097959999999,4458.274955999999,-0.0362459197640419,False,,,"[0, 11, 3, 1, 8, 0, 6]"
135,0,2007-07-28,2007,209,3,120.0,32.0,0.0,2749.5651599999997,3165.823136,0.0,5915.388295999999,0.36599066853523254,False,,,"[1, 0, 3, 9, 8, 4, 0]"
136,0,2007-08-04,2007,216,3,15.0,48.0,6.0,343.69564499999996,4748.734704,284.784966,5377.215315,-0.04373552277684212,False,,,"[1, 3, 5, 6, 1, 6, 1]"
137,0,2007-08-11,2007,223,3,30.0,0.0,48.0,687.3912899999999,0.0,2278.279728,2965.671018,-0.02412858046591282,False,,,"[0, 10, 1, 8, 2, 0, 8]"
138,0,2007-08-18,2007,230,3,30.0,72.0,18.0,687.3912899999999,7123.102056,854.3548979999999,8664.848243999999,-0.07050264626741409,False,,,"[0, 12, 8, 0, 2, 9, 3]"
139,0,2007-08-25,2007,237,3,90.0,16.0,36.0,2062.1738699999996,1582.911568,1708.7097959999999,5353.795233999999,-0.04356429725885391,False,,,"[1, 9, 9, 8, 6, 2, 6]"
140,0,2007-09-01,2007,244,3,60.0,56.0,42.0,1374.7825799999998,5540.190488,1993.4947619999998,8908.46783,-0.07247620075941086,False,,,"[1, 5, 3, 0, 4, 7, 7]"
